Date,Ticker,Client_Name,Deal_Type,Quantity,Price,Exchange,Deal_Source
2026-08-27,HAPPSTMNDS,POLUNIN EMERGING MARKETS SMALL CAP FUND LLC,BUY,830000,429.92,NSE,BULK
2026-08-27,IRISDOREME,NIPPON LIFE INDIA ASSET MANAGEMENT LIMITED,BUY,1153934,57.1,NSE,BULK
2026-08-27,KELLTONTEC,SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED,BUY,3031396,14.79,NSE,BULK
2026-08-27,KELLTONTEC,NK SECURITIES RESEARCH PRIVATE LIMITED,BUY,2976287,14.8,NSE,BULK
2026-08-27,KHADIM,PANKAJ PRASOON AND (HUF),BUY,140246,111.36,NSE,BULK
2026-08-27,KSHITIJ-RE,SUBHASH CHANDRA,BUY,800000,0.02,NSE,BULK
2026-08-27,KSHITIJ-RE,SRIHARSHA POLAVARAPU,BUY,400000,0.02,NSE,BULK
2026-08-27,MARSONS,ACME CAPITAL MARKET LIMITED,BUY,940273,125.37,NSE,BULK
2026-08-27,MILKYMIST,JUNOMONETA FINSOL PRIVATE LIMITED,BUY,4205106,223.4,NSE,BULK
2026-08-27,MODIS,SHRENI SHARES PVT,BUY,5696,396.11,NSE,BULK
2026-08-27,MVELECTRO,NK SECURITIES RESEARCH PRIVATE LIMITED,BUY,279140,638.96,NSE,BULK
2026-08-27,MVELECTRO,QE SECURITIES LLP,BUY,471599,641.08,NSE,BULK
2026-08-27,MVELECTRO,SILVER LINE VENTURES PRIVATE LIMITED,BUY,134473,650.81,NSE,BULK
2026-08-27,MVELECTRO,MICROCURVES TRADING PRIVATE LIMITED,BUY,802112,641.29,NSE,BULK
2026-08-27,MVELECTRO,JUNOMONETA FINSOL PRIVATE LIMITED,BUY,545311,636.77,NSE,BULK
2026-08-27,MVELECTRO,JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED,BUY,189713,639.59,NSE,BULK
2026-08-27,MVELECTRO,HRTI PRIVATE LIMITED,BUY,533385,634.55,NSE,BULK
2026-08-27,MVELECTRO,MATHISYS QUANTCAP LLP,BUY,230264,635.9,NSE,BULK
2026-08-27,MVELECTRO,ALROX ENTERPRISES PRIVATE LIMITED,BUY,200000,649.1,NSE,BULK
2026-08-27,MVELECTRO,IRAGE BROKING SERVICES LLP,BUY,211291,640.65,NSE,BULK
2026-08-27,PCJEWELLER,ALGOQUANT FINTECH LIMITED,BUY,61869097,11.07,NSE,BULK
2026-08-27,QUESTLAB,INVICTO MULTIPLIER FUND,BUY,170400,88.0,NSE,BULK
2026-08-27,RAMBHAJO,QE SECURITIES LLP,BUY,641634,260.5,NSE,BULK
2026-08-27,RAMBHAJO,HRTI PRIVATE LIMITED,BUY,734074,260.57,NSE,BULK
2026-08-27,RAMBHAJO,JUNOMONETA FINSOL PRIVATE LIMITED,BUY,986217,262.03,NSE,BULK
2026-08-27,RAMBHAJO,MICROCURVES TRADING PRIVATE LIMITED,BUY,542467,267.18,NSE,BULK
2026-08-27,RAMBHAJO,MARWADI SHARES AND FINANCE LTD.,BUY,386381,263.16,NSE,BULK
2026-08-27,RAMBHAJO,SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED,BUY,295087,259.52,NSE,BULK
2026-08-27,RAMBHAJO,NK SECURITIES RESEARCH PRIVATE LIMITED,BUY,582524,264.12,NSE,BULK
2026-08-27,RAMBHAJO,IRAGE BROKING SERVICES LLP,BUY,262719,262.99,NSE,BULK
2026-08-27,RATNAVEER,HRTI PRIVATE LIMITED,BUY,454129,290.29,NSE,BULK
2026-08-27,RATNAVEER,ARIHANT CAPITAL MARKETS LIMITED,BUY,1254543,290.15,NSE,BULK
2026-08-27,RGL,JUNOMONETA FINSOL PRIVATE LIMITED,BUY,711986,139.77,NSE,BULK
2026-08-27,RGL,QE SECURITIES LLP,BUY,671275,138.93,NSE,BULK
2026-08-27,RPPINFRA,CMK PROJECTS PRIVATE LIMITED,BUY,500000,56.85,NSE,BULK
2026-08-27,RULKA,GRATIAS VENTURES PRIVATE LIMITED,BUY,8400,111.61,NSE,BULK
2026-08-27,SAWALIYA,PATEL  JATINKUMAR,BUY,600,269.5,NSE,BULK
2026-08-27,SHAH,DHANJIT REAL TRADE LLP,BUY,8381256,3.62,NSE,BULK
2026-08-27,SHANTIGOLD,ARIHANT CAPITAL MARKETS LIMITED,BUY,1256158,246.95,NSE,BULK
2026-08-27,SHANTIGOLD,QE SECURITIES LLP,BUY,447594,248.44,NSE,BULK
2026-08-27,SHANTIGOLD,HRTI PRIVATE LIMITED,BUY,565632,247.96,NSE,BULK
2026-08-27,SUNSHINE,ARIHANT CAPITAL MARKETS LIMITED,BUY,425248,370.76,NSE,BULK
2026-08-27,TECHNOCRAF,JUNOMONETA FINSOL PRIVATE LIMITED,BUY,308715,362.57,NSE,BULK
2026-08-27,TECHNOCRAF,HRTI PRIVATE LIMITED,BUY,276559,359.64,NSE,BULK
2026-08-27,VISACHROME,AL MAHA INVESTMENT FUND PCC - ONYX STRATEGY,BUY,4054054,37.0,NSE,BULK
2026-08-27,WEL,NEO APEX VENTURE LLP,BUY,1637803,126.56,NSE,BULK
2026-08-27,WEL,NEO APEX SHARE BROKING SERVICES LLP,BUY,1317638,126.16,NSE,BULK
2026-08-27,WEL,IRAGE BROKING SERVICES LLP,BUY,1711196,146.34,NSE,BULK
2026-08-27,WEL,MICROCURVES TRADING PRIVATE LIMITED,BUY,6100111,160.38,NSE,BULK
2026-08-27,WEL,JUNOMONETA FINSOL PRIVATE LIMITED,BUY,4627996,153.13,NSE,BULK
2026-08-27,WEL,MARWADI CHANDARANA INTERMEDIARIES BROKERS PRIVATE LIMITED,BUY,974249,142.35,NSE,BULK
2026-08-27,WEL,D3 STOCK VISION LLP,BUY,1978112,126.67,NSE,BULK
2026-08-27,WEL,MARWADI SHARES AND FINANCE LTD.,BUY,11281488,131.69,NSE,BULK
2026-08-27,WEL,HRTI PRIVATE LIMITED,BUY,2693122,149.74,NSE,BULK
2026-08-27,WEL,VINSUL MAKARDI LTD,BUY,2175079,140.94,NSE,BULK
2026-08-27,WEL,J4S FINANCIAL SOLUTIONS LLP,BUY,1060250,152.88,NSE,BULK
2026-08-27,WEL,PUMA SECURITIES,BUY,1155844,150.46,NSE,BULK
2026-08-27,WEL,CORE INC,BUY,1945000,140.88,NSE,BULK
2026-08-27,WEL,MATHISYS QUANTCAP LLP,BUY,805792,155.52,NSE,BULK
2026-08-27,WEL,CLT RESEARCH TECH PRIVATE LTD,BUY,1064028,162.52,NSE,BULK
2026-08-27,WEL,SETU SECURITIES PVT LTD,BUY,1443663,126.48,NSE,BULK
2026-08-27,WEL,QE SECURITIES LLP,BUY,3886333,152.92,NSE,BULK
2026-08-27,WEL,NK SECURITIES RESEARCH PRIVATE LIMITED,BUY,5778004,144.26,NSE,BULK
2026-08-27,WEL,ALPHAGREP SECURITIES PRIVATE LIMITED,BUY,1346918,164.22,NSE,BULK
2026-08-27,WEL,GRT STRATEGIC VENTURES LLP,BUY,768677,151.28,NSE,BULK
2026-08-27,XTRANET,GINNI FINANCE PRIVATE LIMITED,BUY,460960,159.29,NSE,BULK
2026-08-27,AASTHA,L7 HITECH PRIVATE LIMITED,SELL,1029472,88.37,NSE,BULK
2026-08-27,AASTHA,JAGID VANITABEN RAJENDRAPRASAD,SELL,551106,88.37,NSE,BULK
2026-08-27,AQYLON,SERA INVESTMENTS & FINANCE INDIA LIMITED,SELL,1841051,24.63,NSE,BULK
2026-08-27,ATALREAL,CHAUBARA EATS PRIVATE LIMITED,SELL,1240387,35.78,NSE,BULK
2026-08-27,ATALREAL,ALTIZEN VENTURES LLP,SELL,500000,35.17,NSE,BULK
2026-08-27,ATALREAL,MAHESH MULCHAND WAGHELA,SELL,1782215,35.26,NSE,BULK
2026-08-27,ATALREAL,HRTI PRIVATE LIMITED,SELL,724376,35.35,NSE,BULK
2026-08-27,ATALREAL,JIAUM BROKING LLP,SELL,1000000,35.79,NSE,BULK
2026-08-27,ATALREAL,BULLPULSE MARKETEDGE PRIVATE LIMITED,SELL,1000000,35.82,NSE,BULK
2026-08-27,ATALREAL,ACME CAPITAL MARKET LIMITED,SELL,1855023,35.55,NSE,BULK
2026-08-27,AYE,F3 ADVISORS PRIVATE LIMITED,SELL,1545081,176.88,NSE,BULK
2026-08-27,BANG,ORION STOCKS LTD,SELL,165066,34.39,NSE,BULK
2026-08-27,BANG,IRAGE BROKING SERVICES LLP,SELL,20126,34.51,NSE,BULK
2026-08-27,BBTC,NK SECURITIES RESEARCH PRIVATE LIMITED,SELL,620149,1609.62,NSE,BULK
2026-08-27,BBTC,ELIXIR WEALTH MANAGEMENT PRIVATE LIMITED,SELL,448910,1614.41,NSE,BULK
2026-08-27,BBTC,BLITZQUANT RESEARCH LLP,SELL,375552,1606.6,NSE,BULK
2026-08-27,BBTC,MICROCURVES TRADING PRIVATE LIMITED,SELL,795485,1614.81,NSE,BULK
2026-08-27,BIOFILCHEM,ORION STOCKS LTD,SELL,89848,32.93,NSE,BULK
2026-08-27,BLEL,JUNOMONETA FINSOL PRIVATE LIMITED,SELL,219801,470.53,NSE,BULK
2026-08-27,BVCL,IRAGE BROKING SERVICES LLP,SELL,3661,43.73,NSE,BULK
2026-08-27,BVCL,ORION STOCKS LTD,SELL,178965,44.3,NSE,BULK
2026-08-27,DCBBANK,OMAN INDIA JOINT INVESTMENT FUND II,SELL,3700000,217.01,NSE,BULK
2026-08-27,DIGIKORE,ROHIT KISHOR RATHI,SELL,124800,33.37,NSE,BULK
2026-08-27,GANGAFORGE,NEO APEX SHARE BROKING SERVICES LLP,SELL,1953251,1.69,NSE,BULK
2026-08-27,GATECH,AL MAHA INVESTMENT FUND PCC - ONYX STRATEGY,SELL,27500000,1.03,NSE,BULK
2026-08-27,GATECH,MINERVA VENTURES FUND,SELL,22500000,1.03,NSE,BULK
2026-08-27,GATECH,MGO HIGH CONVICTION FUND INCORPORATED VCC SUB-FUND,SELL,11773800,1.03,NSE,BULK
2026-08-27,GCSL,MANSUKH SECURITIES & FINANCE LIMITED,SELL,208195,541.37,NSE,BULK
2026-08-27,KELLTONTEC,NK SECURITIES RESEARCH PRIVATE LIMITED,SELL,2976287,14.83,NSE,BULK
2026-08-27,KELLTONTEC,SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED,SELL,3031396,14.81,NSE,BULK
2026-08-27,MARSONS,ACME CAPITAL MARKET LIMITED,SELL,940273,124.82,NSE,BULK
2026-08-27,MILKYMIST,JUNOMONETA FINSOL PRIVATE LIMITED,SELL,4207167,223.53,NSE,BULK
2026-08-27,MODIS,SHRENI SHARES PVT,SELL,105754,384.03,NSE,BULK
2026-08-27,MVELECTRO,QE SECURITIES LLP,SELL,491176,637.47,NSE,BULK
2026-08-27,MVELECTRO,HRTI PRIVATE LIMITED,SELL,520643,633.23,NSE,BULK
2026-08-27,MVELECTRO,JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED,SELL,189713,641.49,NSE,BULK
2026-08-27,MVELECTRO,JUNOMONETA FINSOL PRIVATE LIMITED,SELL,547122,637.39,NSE,BULK
2026-08-27,MVELECTRO,MICROCURVES TRADING PRIVATE LIMITED,SELL,802112,641.8,NSE,BULK
2026-08-27,MVELECTRO,IRAGE BROKING SERVICES LLP,SELL,206255,640.68,NSE,BULK
2026-08-27,MVELECTRO,NK SECURITIES RESEARCH PRIVATE LIMITED,SELL,279140,639.06,NSE,BULK
2026-08-27,MVELECTRO,SILVER LINE VENTURES PRIVATE LIMITED,SELL,150536,654.87,NSE,BULK
2026-08-27,MVELECTRO,MATHISYS QUANTCAP LLP,SELL,226997,634.56,NSE,BULK
2026-08-27,PARSVNATH,EARC TRUST SC 453,SELL,4933772,1.43,NSE,BULK
2026-08-27,PCJEWELLER,ALGOQUANT FINTECH LIMITED,SELL,61869097,11.05,NSE,BULK
2026-08-27,QUESTLAB,BHAVNA HITESH PATEL,SELL,99600,88.0,NSE,BULK
2026-08-27,RAMBHAJO,QE SECURITIES LLP,SELL,654508,259.44,NSE,BULK
2026-08-27,RAMBHAJO,MICROCURVES TRADING PRIVATE LIMITED,SELL,542467,267.15,NSE,BULK
2026-08-27,RAMBHAJO,JUNOMONETA FINSOL PRIVATE LIMITED,SELL,987194,262.19,NSE,BULK
2026-08-27,RAMBHAJO,HRTI PRIVATE LIMITED,SELL,758064,259.54,NSE,BULK
2026-08-27,RAMBHAJO,IRAGE BROKING SERVICES LLP,SELL,247531,263.89,NSE,BULK
2026-08-27,RAMBHAJO,NK SECURITIES RESEARCH PRIVATE LIMITED,SELL,582524,264.24,NSE,BULK
2026-08-27,RAMBHAJO,MARWADI SHARES AND FINANCE LTD.,SELL,386381,260.8,NSE,BULK
2026-08-27,RAMBHAJO,SILVERLEAF CAPITAL SERVICES PRIVATE LIMITED,SELL,295087,259.52,NSE,BULK
2026-08-27,RATNAVEER,HRTI PRIVATE LIMITED,SELL,400187,289.1,NSE,BULK
2026-08-27,RATNAVEER,ARIHANT CAPITAL MARKETS LIMITED,SELL,1236759,290.7,NSE,BULK
2026-08-27,RGL,JUNOMONETA FINSOL PRIVATE LIMITED,SELL,713101,139.9,NSE,BULK
2026-08-27,RGL,QE SECURITIES LLP,SELL,635336,141.33,NSE,BULK
2026-08-27,RPPINFRA,YAGAVI N A *,SELL,500000,56.85,NSE,BULK
2026-08-27,RULKA,GRATIAS VENTURES PRIVATE LIMITED,SELL,21300,111.69,NSE,BULK
2026-08-27,SAWALIYA,PATEL  JATINKUMAR,SELL,50400,219.53,NSE,BULK
2026-08-27,SHAH,DHANJIT REAL TRADE LLP,SELL,7381256,3.51,NSE,BULK
2026-08-27,SHANTIGOLD,ARIHANT CAPITAL MARKETS LIMITED,SELL,1256158,249.0,NSE,BULK
2026-08-27,SHANTIGOLD,NOVA GLOBAL OPPORTUNITIES FUND PCC - TOUCHSTONE,SELL,464804,250.11,NSE,BULK
2026-08-27,SHANTIGOLD,QE SECURITIES LLP,SELL,399995,248.63,NSE,BULK
2026-08-27,SHANTIGOLD,HRTI PRIVATE LIMITED,SELL,516735,247.94,NSE,BULK
2026-08-27,SUNSHINE,ARIHANT CAPITAL MARKETS LIMITED,SELL,450818,369.74,NSE,BULK
2026-08-27,TECHNOCRAF,JUNOMONETA FINSOL PRIVATE LIMITED,SELL,308216,362.79,NSE,BULK
2026-08-27,TECHNOCRAF,HRTI PRIVATE LIMITED,SELL,280561,359.05,NSE,BULK
2026-08-27,VISACHROME,ASSETS CARE AND RECONSTRUCTION ENTERPRISE LIMITED,SELL,4058000,37.0,NSE,BULK
2026-08-27,WEL,MARWADI SHARES AND FINANCE LTD.,SELL,11250757,130.77,NSE,BULK
2026-08-27,WEL,NEO APEX VENTURE LLP,SELL,1150373,127.43,NSE,BULK
2026-08-27,WEL,J4S FINANCIAL SOLUTIONS LLP,SELL,1060250,152.87,NSE,BULK
2026-08-27,WEL,PUMA SECURITIES,SELL,1155844,150.39,NSE,BULK
2026-08-27,WEL,CORE INC,SELL,1945000,148.44,NSE,BULK
2026-08-27,WEL,CLT RESEARCH TECH PRIVATE LTD,SELL,1064028,162.63,NSE,BULK
2026-08-27,WEL,SETU SECURITIES PVT LTD,SELL,343666,128.7,NSE,BULK
2026-08-27,WEL,NEXUS GLOBAL OPPORTUNITIES FUND,SELL,1040000,141.28,NSE,BULK
2026-08-27,WEL,NK SECURITIES RESEARCH PRIVATE LIMITED,SELL,5776745,144.58,NSE,BULK
2026-08-27,WEL,ALPHAGREP SECURITIES PRIVATE LIMITED,SELL,1346918,164.16,NSE,BULK
2026-08-27,WEL,GRT STRATEGIC VENTURES LLP,SELL,768677,151.28,NSE,BULK
2026-08-27,WEL,IRAGE BROKING SERVICES LLP,SELL,2102784,143.43,NSE,BULK
2026-08-27,WEL,QE SECURITIES LLP,SELL,3855621,150.86,NSE,BULK
2026-08-27,WEL,MATHISYS QUANTCAP LLP,SELL,805874,154.91,NSE,BULK
2026-08-27,WEL,HRTI PRIVATE LIMITED,SELL,2625427,152.8,NSE,BULK
2026-08-27,WEL,MARWADI CHANDARANA INTERMEDIARIES BROKERS PRIVATE LIMITED,SELL,970249,138.01,NSE,BULK
2026-08-27,WEL,JUNOMONETA FINSOL PRIVATE LIMITED,SELL,4408542,154.62,NSE,BULK
2026-08-27,WEL,MICROCURVES TRADING PRIVATE LIMITED,SELL,6100111,160.53,NSE,BULK
2026-08-27,WEL,NEXUS GLOBAL OPPORTUNITIES FUND,SELL,797068,138.57,NSE,BULK
2026-08-27,WEL,UNICO GLOBAL OPPORTUNITIES FUND LIMITED,SELL,5752025,126.01,NSE,BULK
2026-08-27,WEL,D3 STOCK VISION LLP,SELL,1412646,127.71,NSE,BULK
2026-08-27,WEL,NEO APEX SHARE BROKING SERVICES LLP,SELL,567631,126.37,NSE,BULK
2026-08-27,WEL,VINSUL MAKARDI LTD,SELL,2175079,141.29,NSE,BULK
2026-08-27,XTRANET,GINNI FINANCE PRIVATE LIMITED,SELL,50000,167.82,NSE,BULK
2026-08-27,APOLLOTYRE,BAJAJ LIFE INSURANCE LIMITED,BUY,2298000,435.0,NSE,BLOCK
2026-08-27,APOLLOTYRE,SBI LIFE INSURANCE COMPANY LIMITED,BUY,5632000,435.0,NSE,BLOCK
2026-08-27,APOLLOTYRE,ICICI PRUDENTIAL MUTUAL FUND,BUY,19080000,435.0,NSE,BLOCK
2026-08-27,FOSECOIND,LIC MUTUAL FUND,BUY,42577,5897.0,NSE,BLOCK
2026-08-27,FOSECOIND,MOTILAL OSWAL MUTUAL FUND,BUY,42577,5897.0,NSE,BLOCK
2026-08-27,FOSECOIND,MORGAN STANLEY ASIA SINGAPORE PTE,BUY,42577,5897.0,NSE,BLOCK
2026-08-27,FOSECOIND,CATAMARAN VENTURES LLP,BUY,55978,5897.0,NSE,BLOCK
2026-08-27,FOSECOIND,CITIGROUP GLOBAL MARKETS SINGAPORE PTE LIMITED,BUY,42577,5897.0,NSE,BLOCK
2026-08-27,FOSECOIND,INVESCO MUTUAL FUND,BUY,254446,5897.0,NSE,BLOCK
2026-08-27,FOSECOIND,SBI MUTUAL FUND,BUY,322297,5897.0,NSE,BLOCK
2026-08-27,FOSECOIND,MAHINDRA MANULIFE MUTUAL FUND,BUY,55978,5897.0,NSE,BLOCK
2026-08-27,FOSECOIND,MIRAE ASSET MUTUAL FUND,BUY,291793,5897.0,NSE,BLOCK
2026-08-27,APOLLOTYRE,EMERALD SAGE INVESTMENT LTD,SELL,27010000,435.0,NSE,BLOCK
2026-08-27,FOSECOIND,MORGAN TERRASSEN B V,SELL,560056,5897.0,NSE,BLOCK
2026-08-27,FOSECOIND,MORGANITE CRUCIBLE LIMITED,SELL,590744,5897.0,NSE,BLOCK
