Symbol,Company,Industry,cs,trend,earnings,flows,composite
ZYDUSLIFE,Zydus Lifesciences Ltd.,Healthcare,68.29,94.75,,65.2,77.26
THERMAX,Thermax Ltd.,Capital Goods,95.77,66.87,63.0,41.1,76.72
BHEL,Bharat Heavy Electricals Ltd.,Capital Goods,96.83,70.0,64.4,24.7,76.7
SCHNEIDER,Schneider Electric Infrastructure Ltd.,Capital Goods,98.1,60.2,50.0,67.3,76.43
BIOCON,Biocon Ltd.,Healthcare,79.7,86.46,,28.9,76.11
FINCABLES,Finolex Cables Ltd.,Capital Goods,87.1,71.62,,39.8,76.07
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,75.26,93.33,,27.5,76.02
MOTHERSON,Samvardhana Motherson International Ltd.,Automobile and Auto Components,71.46,92.12,,45.5,75.7
AUBANK,AU Small Finance Bank Ltd.,Financial Services,77.17,86.67,,35.8,75.65
SAIL,Steel Authority of India Ltd.,Metals & Mining,96.41,63.23,66.5,33.0,75.63
ABCAPITAL,Aditya Birla Capital Ltd.,Financial Services,77.38,88.89,,27.0,75.51
ZYDUSWELL,Zydus Wellness Ltd.,Fast Moving Consumer Goods,81.82,84.55,,19.1,75.4
SONACOMS,Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,80.76,83.54,,25.7,75.26
EICHERMOT,Eicher Motors Ltd.,Automobile and Auto Components,76.74,86.16,,32.7,74.89
VIJAYA,Vijaya Diagnostic Centre Ltd.,Healthcare,85.84,66.06,,49.7,74.6
AUROPHARMA,Aurobindo Pharma Ltd.,Healthcare,93.23,67.27,55.2,39.3,74.35
LUPIN,Lupin Ltd.,Healthcare,79.07,78.48,,39.2,74.17
JINDALSAW,Jindal Saw Ltd.,Capital Goods,81.18,77.58,,30.9,73.99
ELGIEQUIP,Elgi Equipments Ltd.,Capital Goods,60.04,96.57,,65.8,73.61
BHARATFORG,Bharat Forge Ltd.,Automobile and Auto Components,96.19,66.87,49.7,27.8,73.58
KARURVYSYA,Karur Vysya Bank Ltd.,Financial Services,87.53,64.24,72.8,34.8,73.06
SHYAMMETL,Shyam Metalics and Energy Ltd.,Capital Goods,65.54,94.34,,41.4,72.87
SBIN,State Bank of India,Financial Services,74.84,81.01,,37.8,72.66
GMRAIRPORT,GMR Airports Ltd.,Services,60.25,96.06,,57.7,72.59
CRAFTSMAN,Craftsman Automation Ltd.,Automobile and Auto Components,88.58,55.35,90.4,25.3,72.56
NLCINDIA,NLC India Ltd.,Power,97.04,62.12,39.1,42.0,72.37
HINDZINC,Hindustan Zinc Ltd.,Metals & Mining,89.64,59.9,76.9,25.2,72.36
MANAPPURAM,Manappuram Finance Ltd.,Financial Services,76.53,82.22,,23.6,72.31
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,Healthcare,73.78,82.93,,32.9,72.2
CGCL,Capri Global Capital Ltd.,Financial Services,58.77,99.39,,50.9,72.18
ANGELONE,Angel One Ltd.,Financial Services,68.5,91.52,,29.4,72.02
BALRAMCHIN,Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,74.42,83.54,,25.8,71.92
TITAN,Titan Company Ltd.,Consumer Durables,76.96,77.17,,31.8,71.72
LALPATHLAB,Dr. Lal Path Labs Ltd.,Healthcare,71.67,85.76,,29.5,71.68
INDUSINDBK,IndusInd Bank Ltd.,Financial Services,68.92,88.89,,28.4,71.2
CEMPRO,Cemindia Projects Ltd.,Construction,70.19,87.07,,25.4,70.88
GLAND,Gland Pharma Ltd.,Healthcare,75.48,63.03,,73.3,70.83
GPIL,Godawari Power & Ispat Ltd.,Capital Goods,90.7,42.63,74.9,57.8,70.62
