Symbol,Company,Industry,setup,entry,stop_loss,risk_pct,target_1,target_2,rr_target_1,rr_target_2,suggested_qty,capital_at_risk,composite,earnings_score,delivery_pct,pct_of_52w_high,holding,exit_rule
ASTERDM,Aster DM Healthcare Ltd.,Healthcare,"established uptrend (MA-aligned, near 52w high)",814.95,717.16,12.0,1010.54,1157.23,2.0,3.5,51,4987.0,84.1,,42.9,0.97,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
APARINDS,Apar Industries Ltd.,Capital Goods,"established uptrend (MA-aligned, near 52w high)",15221.0,13394.48,12.0,18874.04,21613.82,2.0,3.5,2,3653.0,84.0,55.8,37.8,0.99,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
HSCL,Himadri Speciality Chemical Ltd.,Chemicals,"established uptrend (MA-aligned, near 52w high)",680.5,598.84,12.0,843.82,966.31,2.0,3.5,61,4981.0,84.0,,10.6,0.96,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
RBLBANK,RBL Bank Ltd.,Financial Services,"established uptrend (MA-aligned, near 52w high)",365.85,322.91,11.74,451.72,516.13,2.0,3.5,116,4981.0,83.3,,42.6,0.99,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
J&KBANK,Jammu & Kashmir Bank Ltd.,Financial Services,"established uptrend (MA-aligned, near 52w high)",157.4,138.51,12.0,195.18,223.51,2.0,3.5,264,4986.0,83.1,,40.5,0.99,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
JBCHEPHARM,J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,"established uptrend (MA-aligned, near 52w high)",2257.7,2028.94,10.13,2715.22,3058.37,2.0,3.5,21,4804.0,83.1,57.3,52.3,0.98,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
BSE,BSE Ltd.,Financial Services,"established uptrend (MA-aligned, near 52w high)",4041.1,3584.71,11.29,4953.87,5638.45,2.0,3.5,10,4564.0,82.7,84.8,29.1,0.91,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
NYKAA,FSN E-Commerce Ventures Ltd.,Consumer Services,"established uptrend (MA-aligned, near 52w high)",273.5,253.43,7.34,313.64,343.74,2.0,3.5,249,4997.0,82.6,,59.1,0.96,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
POLYCAB,Polycab India Ltd.,Capital Goods,"established uptrend (MA-aligned, near 52w high)",9554.0,8424.73,11.82,11812.54,13506.44,2.0,3.5,4,4517.0,82.2,63.5,38.5,0.97,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
SAILIFE,Sai Life Sciences Ltd.,Healthcare,"established uptrend (MA-aligned, near 52w high)",1218.1,1071.93,12.0,1510.44,1729.7,2.0,3.5,34,4970.0,82.2,60.7,45.2,0.98,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
ACMESOLAR,ACME Solar Holdings Ltd.,Power,"established uptrend (MA-aligned, near 52w high)",335.75,295.46,12.0,416.33,476.77,2.0,3.5,124,4996.0,82.2,,47.0,0.92,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
ATHERENERG,Ather Energy Ltd.,Automobile and Auto Components,"established uptrend (MA-aligned, near 52w high)",1028.7,905.26,12.0,1275.59,1460.75,2.0,3.5,40,4938.0,81.8,41.7,21.8,0.96,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
CGPOWER,CG Power and Industrial Solutions Ltd.,Capital Goods,"established uptrend (MA-aligned, near 52w high)",914.45,809.16,11.51,1125.03,1282.97,2.0,3.5,47,4949.0,81.8,,34.1,0.96,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
NAM-INDIA,Nippon Life India Asset Management Ltd.,Financial Services,"established uptrend (MA-aligned, near 52w high)",1089.1,968.18,11.1,1330.94,1512.33,2.0,3.5,41,4958.0,81.7,,45.1,0.95,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
CUMMINSIND,Cummins India Ltd.,Capital Goods,"established uptrend (MA-aligned, near 52w high)",5621.5,5045.93,10.24,6772.64,7636.0,2.0,3.5,8,4605.0,81.4,57.7,48.2,0.92,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
KEI,KEI Industries Ltd.,Capital Goods,"established uptrend (MA-aligned, near 52w high)",5369.5,4827.0,10.1,6454.51,7268.26,2.0,3.5,9,4883.0,81.0,64.8,46.2,0.98,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Services,"established uptrend (MA-aligned, near 52w high)",1812.9,1629.17,10.13,2180.35,2455.94,2.0,3.5,27,4961.0,80.8,,56.8,0.98,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
DATAPATTNS,Data Patterns (India) Ltd.,Capital Goods,"established uptrend (MA-aligned, near 52w high)",4545.7,4000.22,12.0,5636.67,6454.89,2.0,3.5,9,4909.0,80.7,59.5,17.6,0.96,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
LLOYDSME,Lloyds Metals And Energy Ltd.,Metals & Mining,"established uptrend (MA-aligned, near 52w high)",1761.9,1614.72,8.35,2056.26,2277.04,2.0,3.5,33,4857.0,80.6,,49.5,0.93,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
NETWEB,Netweb Technologies India Ltd.,Information Technology,"established uptrend (MA-aligned, near 52w high)",4587.4,4036.91,12.0,5688.38,6514.11,2.0,3.5,9,4954.0,80.6,62.0,11.4,0.92,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
POWERINDIA,Hitachi Energy India Ltd.,Capital Goods,"established uptrend (MA-aligned, near 52w high)",34325.0,30206.0,12.0,42563.0,48741.5,2.0,3.5,1,4119.0,80.4,73.3,29.4,0.89,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
ADANIENSOL,Adani Energy Solutions Ltd.,Power,"established uptrend (MA-aligned, near 52w high)",1489.6,1310.85,12.0,1847.1,2115.23,2.0,3.5,27,4826.0,80.3,65.4,16.6,0.92,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
IFCI,IFCI Ltd.,Financial Services,"established uptrend (MA-aligned, near 52w high)",84.57,74.42,12.0,104.87,120.09,2.0,3.5,492,4993.0,80.3,,20.2,1.0,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
MARICO,Marico Ltd.,Fast Moving Consumer Goods,"established uptrend (MA-aligned, near 52w high)",819.05,772.31,5.71,912.52,982.63,2.0,3.5,106,4954.0,80.2,70.4,60.1,0.96,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
HINDALCO,Hindalco Industries Ltd.,Metals & Mining,"established uptrend (MA-aligned, near 52w high)",1021.6,929.09,9.06,1206.61,1345.38,2.0,3.5,54,4995.0,80.0,78.6,61.0,0.87,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
FORTIS,Fortis Healthcare Ltd.,Healthcare,"established uptrend (MA-aligned, near 52w high)",990.35,903.54,8.77,1163.96,1294.17,2.0,3.5,57,4948.0,79.8,,60.9,0.9,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
NMDC,NMDC Ltd.,Metals & Mining,"established uptrend (MA-aligned, near 52w high)",90.93,82.06,9.75,108.67,121.97,2.0,3.5,563,4993.0,79.5,50.6,39.8,0.93,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
BANDHANBNK,Bandhan Bank Ltd.,Financial Services,"established uptrend (MA-aligned, near 52w high)",204.6,184.49,9.83,244.83,275.0,2.0,3.5,248,4988.0,79.5,,43.2,0.96,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
MAHABANK,Bank of Maharashtra,Financial Services,"established uptrend (MA-aligned, near 52w high)",87.3,76.82,12.0,108.25,123.97,2.0,3.5,477,4997.0,79.5,33.3,37.0,1.0,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
ADANIPOWER,Adani Power Ltd.,Power,"established uptrend (MA-aligned, near 52w high)",223.07,198.33,11.09,272.56,309.67,2.0,3.5,202,4998.0,79.4,71.6,31.3,0.88,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
JSWSTEEL,JSW Steel Ltd.,Metals & Mining,"established uptrend (MA-aligned, near 52w high)",1297.6,1217.8,6.15,1457.2,1576.9,2.0,3.5,62,4948.0,79.0,53.3,52.8,0.98,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
BAJAJ-AUTO,Bajaj Auto Ltd.,Automobile and Auto Components,"established uptrend (MA-aligned, near 52w high)",10063.0,9440.33,6.19,11308.34,12242.35,2.0,3.5,8,4981.0,79.0,,45.3,0.94,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
VTL,Vardhman Textiles Ltd.,Textiles,"established uptrend (MA-aligned, near 52w high)",627.85,564.72,10.05,754.11,848.8,2.0,3.5,79,4987.0,78.7,54.1,44.5,0.97,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
EMCURE,Emcure Pharmaceuticals Ltd.,Healthcare,"established uptrend (MA-aligned, near 52w high)",1736.2,1557.89,10.27,2092.81,2360.28,2.0,3.5,28,4993.0,78.5,,58.2,0.95,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
CHENNPETRO,Chennai Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,"established uptrend (MA-aligned, near 52w high)",1137.7,1001.18,12.0,1410.75,1615.53,2.0,3.5,36,4915.0,78.4,,27.2,0.91,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
USHAMART,Usha Martin Ltd.,Capital Goods,"established uptrend (MA-aligned, near 52w high)",486.5,432.34,11.13,594.82,676.06,2.0,3.5,92,4983.0,78.4,,38.2,0.92,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
NESTLEIND,Nestle India Ltd.,Fast Moving Consumer Goods,"established uptrend (MA-aligned, near 52w high)",1375.7,1285.51,6.56,1556.09,1691.37,2.0,3.5,55,4961.0,78.0,70.2,42.3,0.92,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
ADANIGREEN,Adani Green Energy Ltd.,Power,"established uptrend (MA-aligned, near 52w high)",1485.7,1307.42,12.0,1842.27,2109.69,2.0,3.5,28,4992.0,77.7,54.5,17.0,0.96,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
KIMS,Krishna Institute of Medical Sciences Ltd.,Healthcare,"established uptrend (MA-aligned, near 52w high)",785.1,695.42,11.42,964.46,1098.99,2.0,3.5,55,4932.0,77.6,,42.5,0.97,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
COALINDIA,Coal India Ltd.,Oil Gas & Consumable Fuels,"established uptrend (MA-aligned, near 52w high)",443.5,399.55,9.91,531.4,597.33,2.0,3.5,113,4966.0,77.5,62.9,56.5,0.9,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
GRASIM,Grasim Industries Ltd.,Construction Materials,"established uptrend (MA-aligned, near 52w high)",3105.5,2828.78,8.91,3658.93,4074.01,2.0,3.5,18,4981.0,77.5,,47.1,0.97,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
ZYDUSLIFE,Zydus Lifesciences Ltd.,Healthcare,"established uptrend (MA-aligned, near 52w high)",1104.7,972.14,12.0,1369.83,1568.67,2.0,3.5,37,4905.0,77.3,,46.9,0.99,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
BHEL,Bharat Heavy Electricals Ltd.,Capital Goods,"established uptrend (MA-aligned, near 52w high)",378.75,339.91,10.25,456.43,514.69,2.0,3.5,128,4971.0,76.7,64.4,39.9,0.89,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
FINCABLES,Finolex Cables Ltd.,Capital Goods,"established uptrend (MA-aligned, near 52w high)",1035.8,911.5,12.0,1284.39,1470.84,2.0,3.5,40,4972.0,76.1,,41.0,0.87,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
BIOCON,Biocon Ltd.,Healthcare,"established uptrend (MA-aligned, near 52w high)",419.0,378.03,9.78,500.94,562.4,2.0,3.5,122,4999.0,76.1,,39.3,0.95,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,"established uptrend (MA-aligned, near 52w high)",2921.6,2571.01,12.0,3622.78,4148.67,2.0,3.5,14,4908.0,76.0,,30.2,0.96,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
MOTHERSON,Samvardhana Motherson International Ltd.,Automobile and Auto Components,"established uptrend (MA-aligned, near 52w high)",143.4,126.19,12.0,177.82,203.63,2.0,3.5,290,4990.0,75.7,,45.7,0.94,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
SAIL,Steel Authority of India Ltd.,Metals & Mining,"established uptrend (MA-aligned, near 52w high)",184.09,167.61,8.95,217.04,241.76,2.0,3.5,303,4992.0,75.6,66.5,42.6,0.88,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
ABCAPITAL,Aditya Birla Capital Ltd.,Financial Services,"established uptrend (MA-aligned, near 52w high)",358.1,326.4,8.85,421.51,469.06,2.0,3.5,157,4977.0,75.5,,35.5,0.95,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
SONACOMS,Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,"established uptrend (MA-aligned, near 52w high)",593.05,547.24,7.73,684.68,753.4,2.0,3.5,109,4994.0,75.3,,45.5,0.95,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
