Symbol,Company,Industry,setup,entry,stop_loss,risk_pct,target_1,target_2,rr_target_1,rr_target_2,suggested_qty,capital_at_risk,composite,rsi_14,delivery_pct,holding,exit_rule
SCHNEIDER,Schneider Electric Infrastructure Ltd.,Capital Goods,pullback to 20DMA,1216.2,1094.21,10.03,1399.18,1521.16,1.5,2.5,40,4879.0,78.5,52.4,52.4,5-20 sessions,"Book 50% at T1, trail rest at 20DMA; hard exit on close below stop or 20DMA"
ZYDUSLIFE,Zydus Lifesciences Ltd.,Healthcare,pullback to 20DMA,1088.1,1043.66,4.08,1154.77,1199.21,1.5,2.5,112,4978.0,77.6,63.3,46.9,5-20 sessions,"Book 50% at T1, trail rest at 20DMA; hard exit on close below stop or 20DMA"
BHARATFORG,Bharat Forge Ltd.,Automobile and Auto Components,20d breakout,2020.5,1912.93,5.32,2181.86,2289.43,1.5,2.5,46,4948.0,77.4,65.6,39.9,5-20 sessions,"Book 50% at T1, trail rest at 20DMA; hard exit on close below stop or 20DMA"
AUBANK,AU Small Finance Bank Ltd.,Financial Services,20d breakout,1033.6,977.0,5.48,1118.5,1175.1,1.5,2.5,88,4981.0,76.4,61.9,53.5,5-20 sessions,"Book 50% at T1, trail rest at 20DMA; hard exit on close below stop or 20DMA"
ANGELONE,Angel One Ltd.,Financial Services,20d breakout,352.3,326.61,7.29,390.84,416.53,1.5,2.5,194,4984.0,76.2,62.8,40.0,5-20 sessions,"Book 50% at T1, trail rest at 20DMA; hard exit on close below stop or 20DMA"
CRAFTSMAN,Craftsman Automation Ltd.,Automobile and Auto Components,20d breakout,9337.0,8662.0,7.23,10349.5,11024.5,1.5,2.5,7,4725.0,75.1,64.9,50.6,5-20 sessions,"Book 50% at T1, trail rest at 20DMA; hard exit on close below stop or 20DMA"
GMRAIRPORT,GMR Airports Ltd.,Services,20d breakout,106.66,99.57,6.64,117.29,124.37,1.5,2.5,705,4995.0,75.0,66.0,58.8,5-20 sessions,"Book 50% at T1, trail rest at 20DMA; hard exit on close below stop or 20DMA"
FINCABLES,Finolex Cables Ltd.,Capital Goods,pullback to 20DMA,1044.1,956.99,8.34,1174.76,1261.87,1.5,2.5,57,4965.0,73.5,51.4,41.0,5-20 sessions,"Book 50% at T1, trail rest at 20DMA; hard exit on close below stop or 20DMA"
CGCL,Capri Global Capital Ltd.,Financial Services,20d breakout,214.18,201.2,6.06,233.65,246.64,1.5,2.5,385,4998.0,73.2,71.6,38.7,5-20 sessions,"Book 50% at T1, trail rest at 20DMA; hard exit on close below stop or 20DMA"
SBIN,State Bank of India,Financial Services,20d breakout,1020.85,983.36,3.67,1077.09,1114.58,1.5,2.5,133,4987.0,71.5,62.7,52.4,5-20 sessions,"Book 50% at T1, trail rest at 20DMA; hard exit on close below stop or 20DMA"
SHYAMMETL,Shyam Metalics and Energy Ltd.,Capital Goods,pullback to 20DMA,969.85,956.2,1.41,990.33,1003.99,1.5,2.5,366,4998.0,71.5,57.4,37.5,5-20 sessions,"Book 50% at T1, trail rest at 20DMA; hard exit on close below stop or 20DMA"
NUVAMA,Nuvama Wealth Management Ltd.,Financial Services,20d breakout,1660.9,1556.73,6.27,1817.16,1921.33,1.5,2.5,47,4896.0,70.2,69.5,46.0,5-20 sessions,"Book 50% at T1, trail rest at 20DMA; hard exit on close below stop or 20DMA"
LTF,L&T Finance Ltd.,Financial Services,20d breakout,293.25,274.99,6.23,320.64,338.89,1.5,2.5,273,4984.0,70.2,62.2,34.1,5-20 sessions,"Book 50% at T1, trail rest at 20DMA; hard exit on close below stop or 20DMA"
