Symbol,Company,Industry,setup,entry,stop_loss,risk_pct,target_1,target_2,rr_target_1,rr_target_2,suggested_qty,capital_at_risk,composite,earnings_score,delivery_pct,pct_of_52w_high,holding,exit_rule
POLYCAB,Polycab India Ltd.,Capital Goods,"established uptrend (MA-aligned, near 52w high)",9556.0,8476.68,11.29,11714.63,13333.6,2.0,3.5,4,4317.0,81.4,63.6,38.5,0.97,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
KEI,KEI Industries Ltd.,Capital Goods,"established uptrend (MA-aligned, near 52w high)",5460.5,4854.4,11.1,6672.7,7581.86,2.0,3.5,8,4849.0,80.7,64.8,46.2,0.99,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
SAILIFE,Sai Life Sciences Ltd.,Healthcare,"established uptrend (MA-aligned, near 52w high)",1207.9,1062.95,12.0,1497.8,1715.22,2.0,3.5,34,4928.0,80.6,60.7,45.2,0.97,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
USHAMART,Usha Martin Ltd.,Capital Goods,"established uptrend (MA-aligned, near 52w high)",494.95,440.4,11.02,604.04,685.86,2.0,3.5,91,4964.0,80.3,,38.2,0.94,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
IFCI,IFCI Ltd.,Financial Services,"established uptrend (MA-aligned, near 52w high)",89.6,78.85,12.0,111.1,127.23,2.0,3.5,465,5000.0,80.0,,20.2,0.98,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
MARICO,Marico Ltd.,Fast Moving Consumer Goods,"established uptrend (MA-aligned, near 52w high)",809.65,761.76,5.92,905.44,977.28,2.0,3.5,104,4981.0,79.9,70.4,60.1,0.95,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,Services,"established uptrend (MA-aligned, near 52w high)",1804.8,1637.57,9.27,2139.25,2390.09,2.0,3.5,29,4850.0,79.9,,56.8,0.98,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
POWERINDIA,Hitachi Energy India Ltd.,Capital Goods,"established uptrend (MA-aligned, near 52w high)",34695.0,30531.6,12.0,43021.8,49266.9,2.0,3.5,1,4163.0,79.9,73.3,29.4,0.89,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
MAHABANK,Bank of Maharashtra,Financial Services,"established uptrend (MA-aligned, near 52w high)",89.12,78.43,12.0,110.51,126.55,2.0,3.5,467,4994.0,79.6,33.3,37.0,0.98,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
RBLBANK,RBL Bank Ltd.,Financial Services,"established uptrend (MA-aligned, near 52w high)",372.65,327.93,12.0,462.09,529.16,2.0,3.5,111,4964.0,79.5,45.8,42.6,0.99,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
ADANIGREEN,Adani Green Energy Ltd.,Power,"established uptrend (MA-aligned, near 52w high)",1482.6,1304.69,12.0,1838.42,2105.29,2.0,3.5,28,4982.0,79.4,,17.0,0.96,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
NETWEB,Netweb Technologies India Ltd.,Information Technology,"established uptrend (MA-aligned, near 52w high)",4612.3,4058.82,12.0,5719.25,6549.47,2.0,3.5,9,4981.0,79.3,62.0,11.4,0.93,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
VTL,Vardhman Textiles Ltd.,Textiles,"established uptrend (MA-aligned, near 52w high)",637.8,568.64,10.84,776.12,879.86,2.0,3.5,72,4980.0,79.1,54.1,44.5,0.98,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
BANDHANBNK,Bandhan Bank Ltd.,Financial Services,"established uptrend (MA-aligned, near 52w high)",210.88,185.74,11.92,261.16,298.88,2.0,3.5,198,4978.0,78.9,,43.2,0.98,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
MOTHERSON,Samvardhana Motherson International Ltd.,Automobile and Auto Components,"established uptrend (MA-aligned, near 52w high)",148.12,130.35,12.0,183.67,210.33,2.0,3.5,281,4995.0,78.8,,45.7,0.98,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
BHEL,Bharat Heavy Electricals Ltd.,Capital Goods,"established uptrend (MA-aligned, near 52w high)",382.85,342.44,10.56,463.68,524.3,2.0,3.5,123,4971.0,78.8,64.4,39.9,0.9,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
EICHERMOT,Eicher Motors Ltd.,Automobile and Auto Components,"established uptrend (MA-aligned, near 52w high)",7624.5,6932.72,9.07,9008.07,10045.74,2.0,3.5,7,4842.0,78.7,,38.4,0.93,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
SCHNEIDER,Schneider Electric Infrastructure Ltd.,Capital Goods,"established uptrend (MA-aligned, near 52w high)",1216.2,1070.26,12.0,1508.09,1727.0,2.0,3.5,34,4962.0,78.5,50.0,52.4,0.86,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
ADANIENSOL,Adani Energy Solutions Ltd.,Power,"established uptrend (MA-aligned, near 52w high)",1491.9,1315.59,11.82,1844.53,2109.0,2.0,3.5,28,4937.0,78.3,65.4,16.6,0.92,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
LLOYDSME,Lloyds Metals And Energy Ltd.,Metals & Mining,"established uptrend (MA-aligned, near 52w high)",1767.9,1627.03,7.97,2049.64,2260.94,2.0,3.5,35,4930.0,78.1,,49.5,0.94,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
FORTIS,Fortis Healthcare Ltd.,Healthcare,"established uptrend (MA-aligned, near 52w high)",980.15,905.91,7.57,1128.63,1239.99,2.0,3.5,67,4974.0,77.8,,60.9,0.89,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
ZYDUSLIFE,Zydus Lifesciences Ltd.,Healthcare,"established uptrend (MA-aligned, near 52w high)",1088.1,958.48,11.91,1347.34,1541.76,2.0,3.5,38,4925.0,77.6,,46.9,0.97,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
HINDALCO,Hindalco Industries Ltd.,Metals & Mining,"established uptrend (MA-aligned, near 52w high)",1013.9,920.28,9.23,1201.14,1341.58,2.0,3.5,53,4962.0,77.6,78.6,61.0,0.86,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
COALINDIA,Coal India Ltd.,Oil Gas & Consumable Fuels,"established uptrend (MA-aligned, near 52w high)",444.05,402.72,9.31,526.7,588.69,2.0,3.5,120,4959.0,77.6,63.2,56.5,0.9,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
AARTIIND,Aarti Industries Ltd.,Chemicals,"established uptrend (MA-aligned, near 52w high)",498.15,447.18,10.23,600.09,676.54,2.0,3.5,98,4995.0,77.6,,46.3,0.95,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
CHENNPETRO,Chennai Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,"established uptrend (MA-aligned, near 52w high)",1210.6,1065.33,12.0,1501.14,1719.05,2.0,3.5,34,4939.0,77.4,,27.2,0.97,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
ADANIPOWER,Adani Power Ltd.,Power,"established uptrend (MA-aligned, near 52w high)",220.52,196.92,10.7,267.73,303.13,2.0,3.5,211,4980.0,77.3,71.6,31.3,0.87,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
JSWSTEEL,JSW Steel Ltd.,Metals & Mining,"established uptrend (MA-aligned, near 52w high)",1296.5,1215.05,6.28,1459.4,1581.58,2.0,3.5,61,4968.0,77.0,49.7,52.8,0.98,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
ABCAPITAL,Aditya Birla Capital Ltd.,Financial Services,"established uptrend (MA-aligned, near 52w high)",368.2,333.98,9.29,436.64,487.97,2.0,3.5,146,4996.0,76.9,,35.5,0.98,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
ANGELONE,Angel One Ltd.,Financial Services,"established uptrend (MA-aligned, near 52w high)",352.3,310.02,12.0,436.85,500.27,2.0,3.5,118,4989.0,76.2,,40.0,0.99,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
BIOCON,Biocon Ltd.,Healthcare,"established uptrend (MA-aligned, near 52w high)",416.05,379.26,8.84,489.63,544.81,2.0,3.5,135,4967.0,76.1,,39.3,0.94,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
NESTLEIND,Nestle India Ltd.,Fast Moving Consumer Goods,"established uptrend (MA-aligned, near 52w high)",1374.7,1279.81,6.9,1564.47,1706.8,2.0,3.5,52,4934.0,75.9,70.2,42.3,0.92,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
EMCURE,Emcure Pharmaceuticals Ltd.,Healthcare,"established uptrend (MA-aligned, near 52w high)",1705.6,1528.58,10.38,2059.64,2325.18,2.0,3.5,28,4957.0,75.9,,58.2,0.93,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
KIMS,Krishna Institute of Medical Sciences Ltd.,Healthcare,"established uptrend (MA-aligned, near 52w high)",769.85,688.12,10.62,933.31,1055.9,2.0,3.5,61,4985.0,75.7,,42.5,0.95,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,"established uptrend (MA-aligned, near 52w high)",2942.5,2589.4,12.0,3648.7,4178.35,2.0,3.5,14,4943.0,75.6,,30.2,0.96,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
JINDALSAW,Jindal Saw Ltd.,Capital Goods,"established uptrend (MA-aligned, near 52w high)",246.31,216.75,12.0,305.42,349.76,2.0,3.5,169,4995.0,75.5,,40.5,0.92,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
BAJAJ-AUTO,Bajaj Auto Ltd.,Automobile and Auto Components,"established uptrend (MA-aligned, near 52w high)",9943.0,9307.86,6.39,11213.27,12165.98,2.0,3.5,7,4446.0,75.5,,45.3,0.92,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
GRASIM,Grasim Industries Ltd.,Construction Materials,"established uptrend (MA-aligned, near 52w high)",3164.5,2840.43,10.24,3812.64,4298.74,2.0,3.5,15,4861.0,75.3,,47.1,0.99,3-6 months,"Book 1/3 at T1, 1/3 at T2, trail rest at 50DMA; exit on weekly close below 50DMA or composite < 50 on rerun"
