Symbol,Company,Industry,cs,trend,earnings,flows,composite
MOTHERSON,Samvardhana Motherson International Ltd.,Automobile and Auto Components,77.64,91.73,,45.5,78.83
BHEL,Bharat Heavy Electricals Ltd.,Capital Goods,95.36,79.23,64.4,24.4,78.78
EICHERMOT,Eicher Motors Ltd.,Automobile and Auto Components,75.95,97.88,,33.9,78.74
KIRLOSENG,Kirloskar Oil Eng Ltd.,Capital Goods,99.37,62.0,75.2,40.3,78.62
CCL,CCL Products (I) Ltd.,Fast Moving Consumer Goods,81.01,81.75,,57.9,78.56
SCHNEIDER,Schneider Electric Infrastructure Ltd.,Capital Goods,97.68,67.04,50.0,69.3,78.5
HONASA,Honasa Consumer Ltd.,Fast Moving Consumer Goods,87.55,61.29,87.5,74.2,78.33
ADANIENSOL,Adani Energy Solutions Ltd.,Power,89.66,85.58,65.4,24.4,78.27
LLOYDSME,Lloyds Metals And Energy Ltd.,Metals & Mining,83.76,85.18,,31.5,78.11
FORTIS,Fortis Healthcare Ltd.,Healthcare,81.22,83.27,,45.7,77.77
ZYDUSLIFE,Zydus Lifesciences Ltd.,Healthcare,71.52,91.13,,64.7,77.64
COALINDIA,Coal India Ltd.,Oil Gas & Consumable Fuels,91.35,70.77,63.2,57.9,77.61
HINDALCO,Hindalco Industries Ltd.,Metals & Mining,98.1,55.85,78.6,49.0,77.59
AARTIIND,Aarti Industries Ltd.,Chemicals,77.22,89.62,,43.0,77.57
CHENNPETRO,Chennai Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,78.48,96.57,,15.0,77.4
BHARATFORG,Bharat Forge Ltd.,Automobile and Auto Components,95.99,79.64,49.1,29.1,77.36
ADANIPOWER,Adani Power Ltd.,Power,97.89,66.13,71.6,26.3,77.26
JSWSTEEL,JSW Steel Ltd.,Metals & Mining,88.61,86.49,49.7,37.0,76.98
ABCAPITAL,Aditya Birla Capital Ltd.,Financial Services,79.96,89.11,,26.7,76.92
AUBANK,AU Small Finance Bank Ltd.,Financial Services,74.26,92.94,,36.3,76.39
ANGELONE,Angel One Ltd.,Financial Services,73.0,96.17,,30.9,76.22
DELHIVERY,Delhivery Ltd.,Services,83.54,75.4,,45.3,76.17
BIOCON,Biocon Ltd.,Healthcare,82.49,82.26,,28.8,76.09
EMCURE,Emcure Pharmaceuticals Ltd.,Healthcare,82.91,80.24,,31.7,75.94
NESTLEIND,Nestle India Ltd.,Fast Moving Consumer Goods,88.82,72.08,70.2,37.6,75.88
KIMS,Krishna Institute of Medical Sciences Ltd.,Healthcare,77.43,85.18,,39.9,75.75
ADANIENT,Adani Enterprises Ltd.,Metals & Mining,76.37,90.73,,27.0,75.63
BAJAJ-AUTO,Bajaj Auto Ltd.,Automobile and Auto Components,86.92,71.67,,35.7,75.51
JINDALSAW,Jindal Saw Ltd.,Capital Goods,78.06,86.09,,32.0,75.47
GESHIP,Great Eastern Shipping Co. Ltd.,Services,96.62,54.23,78.4,37.9,75.3
NAVINFLUOR,Navin Fluorine International Ltd.,Chemicals,91.56,61.49,84.0,30.3,75.28
GRASIM,Grasim Industries Ltd.,Construction Materials,72.36,91.94,,38.3,75.26
CRAFTSMAN,Craftsman Automation Ltd.,Automobile and Auto Components,89.24,62.5,90.4,26.0,75.07
THERMAX,Thermax Ltd.,Capital Goods,96.2,60.28,63.0,41.8,75.01
GMRAIRPORT,GMR Airports Ltd.,Services,63.29,98.19,,57.9,74.97
AJANTPHARM,Ajanta Pharmaceuticals Ltd.,Healthcare,86.29,68.35,,41.9,74.73
TITAN,Titan Company Ltd.,Consumer Durables,78.69,82.86,,32.1,74.68
ELGIEQUIP,Elgi Equipments Ltd.,Capital Goods,61.39,95.87,,65.3,74.02
SONACOMS,Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,79.75,81.45,,25.8,74.0
NMDC,NMDC Ltd.,Metals & Mining,89.87,72.98,50.0,41.2,73.96
GRANULES,Granules India Ltd.,Healthcare,93.46,49.6,85.1,42.4,73.94
FINCABLES,Finolex Cables Ltd.,Capital Goods,85.23,67.04,,40.5,73.55
STARHEALTH,Star Health and Allied Insurance Company Ltd.,Financial Services,70.68,86.49,,46.1,73.37
KARURVYSYA,Karur Vysya Bank Ltd.,Financial Services,91.77,58.47,72.8,35.0,73.26
CGCL,Capri Global Capital Ltd.,Financial Services,60.55,99.09,,52.2,73.17
LUPIN,Lupin Ltd.,Healthcare,80.38,73.59,,38.9,73.1
SAIL,Steel Authority of India Ltd.,Metals & Mining,95.57,56.25,66.2,31.3,72.94
LALPATHLAB,Dr. Lal Path Labs Ltd.,Healthcare,73.21,86.9,,28.6,72.79
SCI,Shipping Corporation of India Ltd.,Services,93.67,74.4,41.7,19.1,72.64
MANAPPURAM,Manappuram Finance Ltd.,Financial Services,74.47,86.49,,21.7,72.51
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,Healthcare,75.74,80.54,,32.4,72.34
VBL,Varun Beverages Ltd.,Fast Moving Consumer Goods,66.67,91.43,,39.9,72.26
CEMPRO,Cemindia Projects Ltd.,Construction,66.24,96.37,,25.0,72.03
ABB,ABB India Ltd.,Capital Goods,79.54,73.79,,29.4,71.61
SBIN,State Bank of India,Financial Services,75.32,77.22,,37.5,71.54
SHYAMMETL,Shyam Metalics and Energy Ltd.,Capital Goods,67.72,87.4,,41.1,71.53
VIJAYA,Vijaya Diagnostic Centre Ltd.,Healthcare,92.41,43.55,81.1,46.4,71.45
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Ltd.,Automobile and Auto Components,62.03,94.35,,34.8,70.23
